37,11,1,0,1,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,5
12,29,1,0,0,1,1,0,0,1,0,0,0,0,4,0,1,0,0,2,3
0,0,32,5,7,2,3,0,4,0,0,1,0,0,0,0,0,0,0,0,1
6,2,4,64,16,2,6,1,2,0,0,1,1,0,0,2,0,1,1,0,0
1,1,4,4,42,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,2
2,2,0,10,3,20,10,0,6,0,0,1,0,1,1,0,0,0,0,1,1
2,0,3,4,1,4,24,3,3,0,1,1,1,0,0,0,0,1,1,2,3
0,0,0,0,0,0,2,37,1,0,1,1,2,0,2,0,0,4,7,1,2
2,0,2,2,3,1,0,3,38,0,0,1,0,0,1,1,0,1,0,2,2
1,5,1,4,0,0,0,1,0,43,2,0,0,0,0,0,0,1,0,0,0
1,1,1,0,0,0,0,12,0,0,108,6,33,11,1,3,0,2,0,0,2
4,3,1,4,1,1,0,4,3,0,5,222,14,14,2,0,0,0,2,9,1
0,1,1,0,0,0,0,3,0,1,7,7,73,1,0,1,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,3,2,2,79,0,1,0,2,0,2,1
3,0,0,0,0,0,1,0,1,0,0,0,1,0,46,0,0,0,1,1,4
0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,55,0,0,0,0,1
0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,3,43,0,1,1,4
4,3,3,0,0,0,0,10,4,0,2,0,1,5,3,1,0,127,4,7,0
0,1,4,0,0,0,0,2,3,1,0,0,2,0,0,0,0,11,31,1,3
2,2,0,0,0,0,2,1,1,0,1,1,1,7,0,1,1,0,0,118,1
3,2,1,0,0,1,2,0,1,0,1,2,1,0,1,0,6,0,0,0,34
